,ci_test_results,z_test_results,z_test_p_values,mean_diff
ATP6V1H,False,False,0.492,-8.785
KIAA0226,True,True,0.0,18.904
C2orf61,False,False,0.751,0.39
A4GALT,False,False,0.736,-0.315
A1BG,False,False,0.332,-1.212
PRSS48,False,False,0.588,0.428
NSA2,False,False,0.66,1.064
GLS2,False,False,0.153,0.901
NPY1R,False,False,0.847,-0.261
IL36G,False,False,0.1,2.472
ARHGAP20,False,False,0.209,0.558
C1orf122,False,False,0.74,1.073
KLRG1,True,True,0.0,-28.419
PM20D1,False,False,0.959,0.073
PPAN-P2RY11,False,False,0.367,-1.084
SEC23B,False,False,0.88,0.257
R3HDM1,False,False,0.268,-1.976
OR2S2,False,False,0.174,-1.459
SRP54,False,False,0.468,-7.512
ZNF408,False,False,0.269,2.345
API5,False,False,0.164,-2.329
EML2,True,True,0.0,-30.407
TMEM92,False,False,0.525,0.568
XIRP2,False,False,0.08,-1.756
AGBL4,False,False,0.67,0.312
FAM195B,True,True,0.0,-18.737
ALG1L,False,False,0.887,0.112
MMP21,False,False,0.767,0.189
WDHD1,False,False,0.758,0.385
WFDC10A,False,False,0.272,0.598
ZNHIT6,False,False,0.508,-0.387
GTF3C5,True,True,0.0,-4.467
ELP5,False,True,0.026,-3.637
TPMT,True,True,0.0,-3.909
ADGRB1,False,False,0.074,0.899
FRK,False,False,0.214,1.55
KIAA1324,False,False,0.968,-0.041
FAM180B,False,False,0.262,1.326
KLHL38,False,False,0.805,-0.289
ZNF670,False,False,0.605,-0.413
ANTXR1,False,False,0.404,2.026
CYYR1,False,False,0.136,-1.517
SMARCC1,True,True,0.0,3.071
OR52J3,False,False,0.335,-1.241
COL4A3BP,False,False,0.435,1.165
CD84,False,False,0.067,2.689
MRPL57,True,True,0.001,-2.458
ASB4,True,True,0.021,1.794
S100A2,False,False,0.774,5.498
EME2,False,False,0.673,0.701
MIDN,True,True,0.0,-36.125
CDC37L1,False,False,0.558,-0.506
BDH2,True,True,0.002,-3.262
UQCR10,True,True,0.0,-16.537
WNT3,False,False,0.509,-0.377
FLOT1,True,True,0.0,-277.711
COQ4,False,False,0.974,-0.072
KIAA0319L,False,False,0.992,0.019
OTUD1,True,True,0.0,13.875
NR1I2,False,False,0.721,0.494
ATP5B,False,False,0.564,10.18
STK32B,False,False,0.571,0.595
LCNL1,False,False,0.337,-0.605
PCDH7,False,False,0.052,3.384
ALDH5A1,False,False,0.692,-0.583
PRR35,False,False,0.084,1.277
BLOC1S5,False,False,0.879,-0.248
ADGRG3,True,True,0.0,-8.583
KIRREL3,False,False,0.673,0.453
RYK,False,False,0.885,-0.233
FAM25G,False,False,0.233,0.903
SPHK1,False,False,0.122,-4.282
AL365181.2,False,False,0.201,1.728
C19orf38,False,False,0.064,-3.935
CRYBB3,False,False,0.447,-0.61
RPS9,True,True,0.0,346.018
SEP15,False,False,0.267,4.78
WDYHV1,False,False,0.534,-0.515
TIMP1,False,False,0.915,-8.127
POFUT2,False,False,0.123,-2.404
PLEC,False,True,0.044,10.2
TAPT1,True,True,0.0,5.55
TMOD4,True,True,0.0,-1.85
SUMF2,False,True,0.011,-6.376
PDIK1L,False,False,0.346,1.676
OR2J3,False,False,0.938,-0.143
KBTBD12,False,False,0.833,-0.278
NXPE4,False,False,0.235,1.388
ABCG2,False,False,0.374,-1.619
FUOM,False,False,0.153,1.403
MBTPS1,False,False,0.064,-2.232
OSBPL8,True,True,0.0,-7.184
KDELC1,False,False,0.107,-1.251
MMRN2,False,False,0.107,-2.599
ATAD3B,False,False,0.544,0.771
CNIH2,False,False,0.174,-1.084
WFDC8,False,False,0.454,0.494
WAPAL,False,False,0.645,0.866
OR10H3,False,False,0.977,-0.036
SCNN1B,False,False,0.177,0.824
NEK7,False,False,0.081,-4.0
AZI2,True,True,0.0,-5.547
SPIRE1,False,False,0.739,-0.822
SLC5A9,False,False,0.374,0.368
ARL2BP,True,True,0.0,-8.253
ADIRF,False,False,0.864,-1.077
KIN,False,False,0.112,-0.814
PRKCQ,True,True,0.0,-16.2
ARAP1,True,True,0.0,-26.623
MMS22L,False,False,0.22,1.763
PCBD2,False,False,0.523,-0.66
KDM3B,False,True,0.021,3.482
ENTHD1,False,False,0.822,-0.114
VSIG1,False,False,0.062,1.861
PRAMEF10,False,False,0.631,0.652
C11orf84,True,True,0.0,-3.464
SRSF4,False,True,0.006,-4.847
ANO2,False,False,0.223,2.079
ESYT2,True,True,0.0,-20.571
FAM58A,False,False,0.844,0.295
OR4D9,False,False,0.212,-1.286
THPO,False,False,0.845,-0.208
GABPA,False,False,0.827,-0.314
FAAH2,False,True,0.041,4.985
SNX19,True,True,0.004,-2.79
AGBL5,False,False,0.266,1.445
EBPL,False,False,0.979,-0.034
NLGN2,False,False,0.628,0.421
RP13-582O9.6,False,False,0.283,-0.565
MRPS18C,True,True,0.001,-6.25
PNCK,False,False,0.471,-1.37
ARHGAP26,True,True,0.0,-14.448
PPEF1,False,False,0.857,0.119
ZBTB5,False,False,0.5,0.771
STAT4,True,True,0.0,-49.983
LYZL4,False,False,0.996,0.002
PLXDC1,False,True,0.007,-2.488
CASP8AP2,False,False,0.548,1.269
ARFGAP1,False,True,0.014,-4.441
CTNNA1,False,False,0.504,4.404
NBPF3,False,False,0.213,-1.633
DSG3,False,False,0.716,-0.382
LIPF,False,False,0.145,2.624
CD177,False,False,0.826,-0.259
RABAC1,False,False,0.051,-8.078
NLRC3,True,True,0.0,-21.542
AKT2,True,True,0.0,-35.901
C14orf39,False,False,0.356,0.99
MEF2BNB,False,False,0.171,-1.115
KCNJ9,False,False,0.554,-0.409
UGT1A9,False,False,0.926,-0.131
WDR87,False,False,0.376,-1.721
JMJD7-PLA2G4B,False,False,0.306,-1.182
ZNF705A,False,False,0.614,-0.826
DNAJC17,False,False,0.317,-1.234
ZWINT,False,False,0.45,1.494
ANXA11,True,True,0.0,-15.184
FOXP1,True,True,0.0,17.216
PRM2,False,False,0.309,1.007
HELQ,False,False,0.367,-0.998
HACD2,False,False,0.181,1.078
BHLHA9,False,False,0.09,2.532
TMEM234,False,False,0.873,-0.123
KBTBD3,False,False,0.897,0.136
EEF1G,True,True,0.0,457.082
RPL5,True,True,0.0,295.679
FER1L6,False,False,0.756,-0.485
TPSB2,False,False,0.199,-1.729
DDX43,False,False,0.517,1.227
CEP295NL,False,False,0.11,2.57
RIOK3,False,True,0.019,-2.601
COL8A2,False,False,0.316,-0.583
MTHFSD,False,False,0.102,-1.93
HSPE1,False,False,0.379,12.096
DEFA3,False,False,0.478,-5.165
C19orf18,False,False,0.609,1.179
FAM173B,False,False,0.539,-0.419
GNAI3,False,False,0.995,-0.004
VPS53,False,False,0.845,-0.17
KRTAP3-1,False,False,0.131,1.279
KIF12,False,False,0.667,0.616
GALNT1,False,False,0.862,-0.424
C18orf21,False,False,0.158,-1.727
PNMAL2,False,False,0.73,-0.33
LECT2,False,False,0.667,0.222
FRMD6,False,False,0.226,-3.937
RHNO1,False,False,0.172,1.441
TNNC2,False,False,0.486,0.207
UBQLNL,False,False,0.131,1.986
CARKD,False,False,0.686,0.396
UCHL3,False,False,0.561,0.892
THBD,False,False,0.34,2.167
CASR,False,False,0.213,-2.278
GAGE13,False,False,0.697,2.327
PPP3CB,False,False,0.52,-1.157
RELA,True,True,0.0,-39.95
CALCOCO2,True,True,0.0,-14.369
AZIN2,False,False,0.256,-3.097
EGFL6,False,False,0.367,0.409
COA7,False,False,0.234,2.54
MICALL1,False,False,0.265,-2.182
WBP2,False,False,0.079,-5.188
ACSBG1,False,False,0.506,0.936
SIAE,False,False,0.979,0.031
HFE2,False,False,0.512,1.054
CXCL9,False,False,0.843,0.685
ARHGEF39,False,False,0.217,1.539
OPA3,False,False,0.473,-0.339
RMND5A,False,False,0.113,-1.988
IL17A,False,False,0.76,-0.459
CXorf40B,True,True,0.0,-10.314
SSFA2,False,False,0.484,2.043
LPIN2,True,True,0.0,-17.972
KIAA0895,False,False,0.146,0.37
PTPRN,False,False,0.233,0.961
CALCA,False,False,0.476,2.831
ZRANB2,False,False,0.309,-3.266
ARHGEF18,True,True,0.0,10.812
PSMA5,False,False,0.48,-0.54
DCUN1D3,False,False,0.429,-0.843
PHF3,False,False,0.224,2.794
ACAP1,True,True,0.0,-47.865
GPR107,False,False,0.324,-1.661
ASAH2,False,False,0.062,-2.722
ZNF474,False,False,0.35,-0.968
ACSL3,False,False,0.108,6.402
LAMB1,False,False,0.514,2.861
CCL27,False,False,0.653,0.366
CST3,True,True,0.0,-122.616
PTP4A2,True,True,0.0,-32.912
TRMT10C,False,False,0.138,2.217
CIB3,False,True,0.044,-0.584
CCDC83,False,True,0.037,0.65
ZNF185,False,False,0.974,-0.047
ASIC4,False,False,0.824,0.195
CAMKK2,False,False,0.381,-1.443
CLC,False,False,0.264,-32.602
CCNB1IP1,True,True,0.0,9.674
PRAMEF25,False,False,0.269,1.417
