,ci_test_results,z_test_results,z_test_p_values,mean_diff
CCDC136,True,True,0.0,-1.801
CEP128,False,False,0.876,0.084
RP9,True,True,0.0,6.422
KANSL2,True,True,0.0,-8.715
KLHL9,False,False,0.07,-2.561
UNC5CL,False,False,0.907,-0.191
C16orf70,False,True,0.05,-2.369
NUDT6,False,False,0.755,0.286
DDB1,False,False,0.449,1.854
TMEM200C,False,False,0.834,-0.298
ZNF354B,False,False,0.468,-0.908
AAGAB,True,True,0.001,-3.89
CASP3,True,True,0.001,-4.997
RDH12,False,False,0.475,0.803
CATSPER3,False,False,0.757,-0.328
SPAG16,False,False,0.786,-0.342
ENSA,True,True,0.001,-13.157
FAM86C1,False,False,0.518,0.434
DMC1,False,False,0.981,0.016
OR11L1,False,False,0.93,0.153
NRL,False,False,0.619,0.717
HAL,False,False,0.421,-1.006
P2RY14,False,False,0.858,-0.44
MAP1B,False,False,0.78,-0.548
MMAA,False,False,0.621,0.761
GPR135,False,False,0.222,1.161
EID3,False,True,0.035,-2.448
PAICS,True,True,0.0,17.904
SDCCAG3,False,False,0.163,2.732
VPS11,False,False,0.753,-0.69
C1QA,False,False,0.355,-12.43
OR6C65,False,False,0.329,0.516
PXK,True,True,0.0,15.435
CYP11B2,False,False,0.268,1.196
PHOX2B,False,False,0.242,-0.201
E2F5,True,True,0.0,18.389
P3H2,False,False,0.949,0.148
FRZB,False,False,0.054,-1.587
KRTAP4-5,False,False,0.329,-0.585
CCL3,True,True,0.0,-271.058
PDCD6IP,False,True,0.014,1.839
ZBTB39,False,False,0.059,-1.081
UBA52,True,True,0.0,153.003
C2orf44,False,True,0.049,3.123
SMIM21,False,False,0.629,0.617
NR2C2,False,True,0.006,-4.873
FTCD,False,False,0.886,0.148
ZNF66,False,False,0.367,-1.228
DHX58,False,False,0.483,1.399
ABCC12,False,False,0.264,-1.255
GTF2IRD1,False,False,0.201,2.569
BOD1,False,False,0.514,-1.187
RGP1,False,False,0.999,-0.002
SEC23IP,False,False,0.444,1.796
FIGLA,False,False,0.147,-1.986
CAPN1,False,True,0.036,-6.634
UPK3BL,True,True,0.0,-10.613
TGM2,False,False,0.925,0.64
NGFR,False,False,0.416,-1.883
ZIM3,False,False,0.519,0.562
SEMA3F,False,False,0.802,-0.436
SOX2,False,False,0.109,-1.64
RRP7A,False,False,0.193,1.435
UBE2D4,False,False,0.182,2.257
ZNF540,False,False,0.271,-0.502
SPECC1L,False,False,0.525,0.801
SOX10,False,False,0.232,3.329
BIN2,True,True,0.0,-112.506
KRTAP5-9,False,False,0.992,0.005
TMEM68,False,False,0.888,-0.262
ATP5L2,False,False,0.239,-1.99
VTCN1,False,False,0.579,0.518
DNAJC9,False,False,0.645,-0.751
MAP4K4,True,True,0.0,18.421
CHD6,False,True,0.006,-1.823
PLCB4,False,False,0.189,2.116
SPDYE2B,False,False,0.511,0.72
PCDHB13,False,False,0.674,0.36
TCP11,False,False,0.43,-0.718
KIAA1257,False,False,0.329,-0.497
GOT1,False,False,0.448,1.051
C1orf123,False,True,0.014,-3.889
MTHFS,False,False,0.798,-0.337
ICK,False,False,0.86,-0.209
SYMPK,False,True,0.019,3.585
CDC25C,False,False,0.157,1.031
ANAPC13,False,False,0.39,1.393
SPATA32,False,False,0.127,2.69
CBLC,False,False,0.467,-0.587
NAT16,False,False,0.684,0.174
ANKS1A,False,False,0.807,-0.243
THAP1,True,True,0.004,-3.561
SETD3,True,True,0.0,-11.772
RRAS,False,False,0.073,-4.561
RP11-159D12.5,False,False,0.218,1.207
ST20,False,False,0.803,0.409
MATN2,False,False,0.87,0.332
LDB3,False,False,0.954,-0.047
TM4SF5,False,False,0.103,2.359
STX6,False,True,0.026,-2.631
CPVL,True,True,0.001,-24.467
OR52B6,False,False,0.268,1.821
ERVW-1,True,True,0.017,-1.682
CDX4,False,False,0.331,0.698
STAC,False,False,0.137,2.07
GUCY2C,False,False,0.942,0.139
OR13C9,False,False,0.312,0.88
HACD3,False,False,0.163,2.868
TOX3,False,False,0.237,2.373
XAGE2,False,False,0.55,0.568
ITPRIPL1,True,True,0.0,-7.434
FAM47A,False,False,0.195,-0.903
NRDE2,False,True,0.007,-3.829
ZNF302,False,False,0.507,-1.511
PCED1A,True,True,0.0,-9.948
ENAM,False,False,0.838,0.064
SALL2,False,False,0.334,1.903
KCNV1,False,False,0.36,-1.088
C9orf85,False,True,0.047,-1.441
DRAM2,True,True,0.0,4.384
PARP8,True,True,0.0,-59.668
WBP1L,True,True,0.0,-5.259
BYSL,False,False,0.559,0.558
EXOC6,False,False,0.71,0.959
ZFP91,False,False,0.087,2.102
NME1-NME2,True,True,0.0,82.944
SELK,False,False,0.46,1.938
AACS,False,False,0.11,-1.57
DCST2,False,False,0.096,2.966
BLK,True,True,0.0,89.898
TMTC2,False,False,0.081,3.632
HEPACAM,False,False,0.68,-0.825
RAD21L1,False,False,0.208,-1.203
PALMD,False,False,0.204,-2.341
SCAF4,False,True,0.006,3.596
RPAIN,False,False,0.955,-0.072
SNRNP48,False,False,0.578,-0.537
CTPS2,False,False,0.396,-1.539
CCNO,False,False,0.538,0.819
CLIP4,True,True,0.0,-5.65
SCT,False,False,0.957,0.4
ZNF649,False,False,0.755,0.449
ADCY4,False,False,0.173,-1.394
APOM,False,False,0.163,1.676
WAS,True,True,0.0,-22.866
ZNF768,False,True,0.018,3.139
TMEM35,False,False,0.277,0.629
PIGV,True,True,0.0,-3.714
OTP,False,False,0.794,0.294
OR9K2,False,False,0.105,-1.524
EPHA2,False,False,0.745,1.015
C12orf56,False,False,0.118,1.172
SLCO4C1,True,True,0.0,-6.563
TRIM74,False,False,0.962,0.041
ZNF469,False,False,0.35,0.999
MAN1C1,False,False,0.877,-0.17
PMF1-BGLAP,True,True,0.001,-2.853
ZMYM5,False,True,0.007,-1.491
GPX6,False,False,0.329,0.982
RILPL2,False,False,0.188,1.843
EXOC7,True,True,0.0,-7.606
EYA4,False,False,0.569,-0.993
TRIM6-TRIM34,False,False,0.137,2.739
PGC,False,False,0.396,-0.94
ZKSCAN5,False,False,0.773,0.611
TRIM9,False,False,0.836,-0.141
DUSP15,False,False,0.961,-0.02
MID1IP1,False,False,0.649,0.731
NKX3-2,False,False,0.572,0.507
FZD2,False,False,0.947,-0.086
CHKB,False,False,0.858,0.324
MYO5C,False,False,0.69,0.413
SLC25A16,True,True,0.001,-1.686
MRPL39,True,True,0.0,4.257
GADD45G,True,True,0.002,-4.963
TCAF1,False,False,0.152,-2.158
C11orf58,True,True,0.002,-11.984
KDM6A,False,False,0.185,-2.001
C21orf140,False,False,0.954,0.127
NDUFA7,False,False,0.05,-3.441
GPX2,True,True,0.003,26.171
CBFB,True,True,0.003,-8.018
CFL2,False,False,0.663,1.037
OMD,False,False,0.4,1.397
SEPW1,True,True,0.0,-21.75
CACNG5,False,False,0.341,0.64
BLNK,True,True,0.0,35.744
C5orf34,False,False,0.936,0.126
KRTAP20-2,False,False,0.315,1.008
PBX1,False,False,0.698,1.144
AMOTL1,False,False,0.305,0.625
ATP9A,False,False,0.063,-3.023
TRH,False,False,0.616,-0.797
UEVLD,True,True,0.0,-3.157
TOP2A,False,True,0.031,7.09
LGALS16,False,False,0.108,-1.073
ZNF236,False,True,0.035,-0.522
CD38,True,True,0.0,-17.648
JPH4,False,False,0.77,-0.268
SPAG7,True,True,0.0,-5.724
CACNB4,False,False,0.13,2.712
GPRIN1,False,False,0.282,1.394
CNTNAP3,False,False,0.332,-1.014
CCND1,False,False,0.208,9.773
SPDYE4,False,False,0.393,-0.893
CRTAM,True,True,0.0,-11.019
MAP3K3,True,True,0.0,-7.956
LGI2,False,False,0.314,-0.214
CBX7,True,True,0.0,6.462
RPP40,False,False,0.091,2.397
LIPH,False,False,0.978,-0.042
HOXB7,False,False,0.145,1.237
DMP1,False,False,0.829,-0.385
IMPA2,False,False,0.374,-1.536
REPIN1,False,False,0.184,4.198
SLC6A8,False,False,0.179,3.987
IL2RG,True,True,0.0,-258.056
DEFB106A,False,False,0.332,1.431
S100P,False,False,0.78,-1.167
CPZ,False,False,0.834,-0.244
NKX2-5,False,False,0.1,1.547
ORAI2,True,True,0.0,26.151
TMEM114,False,False,0.403,0.752
NLE1,False,False,0.24,1.724
PAPOLA,False,False,0.072,3.899
PDCD10,False,True,0.015,-5.064
SHCBP1,True,True,0.006,3.644
NDUFA9,False,False,0.055,-3.809
GHSR,False,False,0.065,-0.463
RGN,False,False,0.404,0.667
FSCN3,False,False,0.979,0.027
NRN1,False,False,0.33,1.474
NOTCH4,False,True,0.011,-5.312
DNAJC15,False,False,0.836,0.115
C7orf31,False,False,0.51,1.031
CFH,False,False,0.254,-1.596
PSMD4,False,False,0.293,-4.84
TLDC1,False,False,0.894,-0.247
AQP1,False,False,0.31,-8.882
ING3,False,False,0.843,0.403
ZNF500,True,True,0.026,-3.839
NUP35,False,False,0.101,3.264
PCTP,False,True,0.01,-2.776
ROPN1L,False,False,0.258,-0.715
GLB1L2,False,False,0.545,1.023
DSE,True,True,0.004,3.194
PDK4,False,False,0.569,-1.728
OPTN,True,True,0.0,-32.846
DNTTIP1,False,False,0.278,-2.455
ADRA1A,False,False,0.063,1.091
NOSTRIN,False,False,0.193,-1.738
PIP5K1A,False,True,0.013,5.159
CCDC102B,False,False,0.481,-1.209
TRIM40,False,False,0.5,0.333
IFT27,False,False,0.679,-0.705
SMARCA4,False,True,0.043,-2.743
ZNF763,False,False,0.193,-1.29
OR1L3,False,False,0.755,-0.221
AC012314.36,False,False,0.229,-1.03
OR6S1,False,False,0.993,0.007
ADAMTS8,False,False,0.379,-0.731
PLIN3,False,False,0.982,-0.071
OR4D6,False,False,0.145,2.548
EPSTI1,False,False,0.511,2.334
DGCR14,False,False,0.155,-1.577
FSIP1,False,False,0.115,-1.703
TTC29,True,True,0.033,4.359
CLLU1,False,False,0.611,-0.618
FNBP1L,False,True,0.037,1.817
GBP6,False,False,0.487,1.073
HGH1,False,False,0.978,-0.049
GALR3,False,False,0.613,0.589
FAM71E1,False,False,0.398,0.871
LHX4,False,False,0.315,-1.832
MYC,True,True,0.0,40.706
UBD,False,False,0.337,1.243
GLYATL3,False,False,0.323,0.48
PLXNB3,False,False,0.973,0.028
NKX2-3,False,False,0.943,0.044
TPD52L2,False,False,0.095,-4.657
TRMT12,False,False,0.89,-0.171
ITPKA,False,False,0.947,-0.028
NMS,False,False,0.272,0.311
CELA1,False,False,0.524,-1.075
TUBGCP2,True,True,0.0,-4.448
MGAM2,False,False,0.308,-1.148
UNC13D,True,True,0.0,-33.185
ORMDL1,True,True,0.0,-14.312
ETFA,False,False,0.882,0.418
TSR1,False,False,0.087,2.789
MARCH3,False,False,0.085,2.648
ALDH2,False,False,0.234,-1.942
RAB20,False,False,0.638,0.613
PKD1L1,False,False,0.586,0.546
MYL7,False,False,0.155,1.815
GTF3C3,True,True,0.003,-4.799
ZHX1,False,False,0.796,0.24
IVNS1ABP,True,True,0.0,-37.407
FBXL5,True,True,0.0,-10.457
TMEM41B,False,False,0.538,0.823
LMAN1L,False,False,0.844,0.201
TMEM45B,False,False,0.788,0.403
SLC17A2,False,False,0.847,0.123
JAZF1,True,True,0.0,-9.096
ANXA2R,True,True,0.0,-7.867
SEPT7,True,True,0.0,-35.772
GCHFR,True,True,0.0,-16.577
CLEC4G,False,False,0.812,0.26
UBB,True,True,0.0,-361.254
STX5,False,False,0.387,1.379
RBL2,True,True,0.0,-33.021
SEMA3E,False,False,0.502,0.596
CCDC65,False,False,0.204,-1.878
RAB10,False,False,0.115,2.759
NPIPB5,False,False,0.781,-2.685
VANGL1,False,True,0.018,-2.487
RASSF1,True,True,0.0,-59.235
SAP30BP,False,False,0.769,0.581
RBKS,False,True,0.035,-2.748
BIRC2,True,True,0.0,-10.8
DNAJB4,False,False,0.905,-0.256
TACSTD2,False,False,0.741,-2.201
C14orf28,False,False,0.606,-0.364
CLEC2B,True,True,0.0,-55.367
USP48,False,False,0.476,1.696
PIGX,False,False,0.194,-1.913
HACE1,False,False,0.521,0.697
HSCB,False,False,0.98,0.02
TPBG,False,False,0.85,0.372
PTGES3L,False,False,0.436,-0.53
PRR20B,False,False,0.373,1.647
LRP12,False,False,0.395,-0.698
OTUD7A,False,False,0.933,-0.044
AL358852.1,False,False,0.061,-0.911
UGT2B17,False,False,0.072,2.918
AGAP1,False,False,0.107,-2.936
RRP12,False,False,0.125,1.554
LCMT1,True,True,0.0,-3.754
HTR3C,False,False,0.296,1.296
RPS6KA5,False,False,0.371,-0.87
GYPE,False,False,0.05,1.071
TXNRD3NB,False,False,0.981,0.031
C5AR1,False,False,0.119,-13.143
OR56A3,False,False,0.694,0.22
ARHGAP5,True,True,0.0,6.79
CD81,True,True,0.004,-28.987
IQCK,False,False,0.777,0.095
RNF224,False,False,0.316,0.893
TSPAN8,False,False,0.111,6.117
ORC6,False,False,0.095,1.72
DPYS,False,False,0.75,-0.299
FBXL16,False,False,0.614,-0.424
TH,False,False,0.157,0.97
CD226,True,True,0.0,-31.768
RLF,False,False,0.951,-0.041
CHRM3,False,False,0.161,-2.551
PIAS4,False,False,0.218,-0.875
ATF2,False,False,0.479,-0.78
NDUFA11,True,True,0.0,-18.036
NEU4,False,False,0.308,0.926
MAP7,True,True,0.003,2.935
GALP,False,False,0.404,0.848
TBL1Y,False,False,0.507,-0.826
SLC25A32,False,True,0.006,1.676
RNF4,False,True,0.013,-4.207
KBTBD13,False,False,0.264,0.791
LRGUK,False,False,0.302,1.305
GABRG2,False,False,0.422,1.492
DIMT1,False,False,0.232,-1.457
SRD5A2,False,False,0.145,1.607
ACAP3,False,False,0.563,0.977
BECN1,True,True,0.008,-5.909
TMEM167A,False,False,0.132,-2.722
OVCA2,True,True,0.004,-4.804
YBX1,True,True,0.0,79.864
SLC22A14,False,False,0.066,1.706
F13B,False,False,0.388,-0.508
SMEK1,False,False,0.549,1.187
CDH1,False,False,0.437,3.026
STARD10,False,False,0.822,1.196
ITGB7,True,True,0.0,-28.031
SLC35B1,False,False,0.736,0.435
F13A1,False,True,0.037,-8.403
MGARP,False,False,0.949,-0.052
PRSS23,False,True,0.011,-18.726
KIFC3,True,True,0.0,-16.056
PIK3CG,True,True,0.0,-5.15
CAPN6,False,False,0.157,-2.067
MLXIP,False,False,0.633,0.888
CENPP,True,True,0.011,-1.601
ZSCAN1,False,True,0.041,3.049
FOXE1,False,False,0.971,-0.079
KRBA2,False,False,0.45,0.794
MEP1B,False,False,0.357,-1.834
NEFM,False,True,0.042,-0.677
PPM1E,False,False,0.254,1.343
SERPINF2,False,False,0.074,-1.712
CH17-223I5.9,True,True,0.025,1.451
LY6G6C,False,False,0.114,-1.138
CGB8,False,False,0.967,0.078
C3,False,False,0.623,-2.596
VDAC3,True,True,0.001,-12.674
MMP24,False,False,0.213,1.292
NAMPT,False,False,0.21,-71.876
HAND1,False,False,0.353,0.849
FCRL3,True,True,0.0,15.419
UQCRB,False,False,0.818,1.434
COL27A1,False,False,0.826,0.208
CNTFR,False,False,0.661,-0.672
CEP76,True,True,0.005,-1.445
STXBP5L,False,False,0.376,1.698
CSAG1,False,False,0.098,2.879
KCNE2,False,False,0.825,0.26
AMTN,False,False,0.159,-2.423
GLCE,False,False,0.61,0.523
TP53I11,False,True,0.022,11.932
KLC1,False,True,0.01,-7.991
CHMP7,True,True,0.0,23.545
NBPF14,True,True,0.0,20.796
APCS,False,False,0.527,0.819
CPSF7,False,False,0.378,2.221
MINOS1-NBL1,False,False,0.715,-0.699
IL37,False,False,0.538,-0.56
TACR3,False,False,0.293,-1.755
AADAC,False,False,0.274,0.972
KRTAP5-1,False,False,0.982,0.03
PIK3CB,False,False,0.36,2.073
NANS,False,False,0.199,2.88
CRYAA,False,False,0.324,-1.475
IL1RN,False,False,0.635,15.179
PIWIL3,False,False,0.164,-1.721
CAPN14,False,False,0.108,1.492
LAMB4,False,False,0.198,2.554
PLD1,False,False,0.211,-2.708
PEX16,False,False,0.693,0.594
TCEB3,False,False,0.273,1.625
SECISBP2,False,False,0.287,2.111
LRRC59,True,True,0.004,9.575
MRPL18,False,True,0.013,-5.234
DNAJC3,False,True,0.032,-2.936
HUS1B,False,False,0.597,0.925
C9orf135,False,False,0.641,-0.357
FOSB,True,True,0.003,-48.353
UBR1,True,True,0.0,-5.422
UGT2B7,False,False,0.33,-0.843
TINAG,False,False,0.359,-1.169
TRAPPC4,False,True,0.04,-5.314
C5orf52,False,False,0.502,-0.47
LCE4A,False,False,0.703,0.491
POP4,False,True,0.036,-1.812
CIR1,True,True,0.004,-5.862
TNNT2,False,False,0.221,0.978
ZBTB8A,False,False,0.142,1.161
TFB1M,False,False,0.091,2.376
TMCC3,False,False,0.582,-1.06
SUCO,False,False,0.538,-0.435
PRR29,False,False,0.928,0.087
CARD18,False,False,0.476,-1.619
MT1X,False,False,0.215,-12.566
AMACR,False,False,0.464,0.86
F11R,False,False,0.897,-0.275
ZNF160,False,False,0.349,-1.586
GAS2L2,False,False,0.307,2.876
ZNF878,False,False,0.626,-0.708
CPED1,False,False,0.094,3.012
CNDP2,False,False,0.52,-2.616
ARL8B,False,False,0.616,0.745
KIAA1715,False,False,0.993,0.019
CLLU1OS,False,False,0.647,0.556
SETSIP,False,False,0.444,-0.751
CCKAR,False,False,0.43,-0.84
OR9I1,False,False,0.347,1.147
ZBTB9,False,False,0.17,1.67
FAM96A,True,True,0.0,17.607
FAT2,False,False,0.604,-0.757
COL12A1,False,False,0.66,2.53
SCARF1,False,False,0.886,0.186
COL8A1,False,True,0.016,-7.833
C2orf78,False,False,0.719,-0.357
AC233755.1,True,True,0.0,274.111
TECR,True,True,0.0,-16.673
SLC25A28,True,True,0.003,7.0
ASAH2B,False,False,0.241,-1.46
GAB1,False,False,0.078,1.48
ITSN2,True,True,0.0,17.253
MSLN,False,False,0.66,-0.936
DNAH6,False,False,0.323,-0.963
DCTD,True,True,0.004,-4.07
N6AMT1,False,False,0.804,0.214
RFX1,False,True,0.029,-1.473
ANOS1,False,False,0.716,0.174
EPB41L3,False,False,0.212,-2.48
TIMM10B,True,True,0.004,-3.794
FANCB,False,False,0.132,1.789
CRLS1,False,False,0.39,-1.022
TMEM196,False,False,0.257,-1.236
ENTPD5,False,True,0.028,-1.095
CYP4B1,False,False,0.535,0.835
TMEM238,False,False,0.57,0.442
PDE1A,False,False,0.864,-0.103
SERPINB13,False,False,0.631,0.626
PHF7,False,False,0.796,-0.155
CLN3,True,True,0.0,-11.123
SLC2A9,False,False,0.057,-2.394
RASL10A,False,False,0.093,-1.072
MFN2,False,False,0.575,1.068
XIRP1,False,False,0.508,-1.233
FAM47E-STBD1,False,False,0.31,-0.84
ZBED5,True,True,0.0,9.879
GEMIN7,False,False,0.413,-1.031
CHAC1,False,False,0.315,1.851
HIF1A,True,True,0.0,19.846
PTPRCAP,True,True,0.0,-65.436
KLRD1,True,True,0.0,-134.884
NDUFB8,True,True,0.0,-19.633
TNRC18,True,True,0.0,-14.101
SLX1A,True,True,0.0,-8.231
BTBD7,False,True,0.022,-2.456
WDR64,False,False,0.665,0.719
MON2,False,False,0.624,0.526
UTP14A,False,False,0.405,1.439
OBSL1,False,False,0.884,-0.313
NKX2-2,False,False,0.698,0.551
POM121,True,True,0.0,-7.492
ELSPBP1,False,False,0.957,-0.026
CCL13,False,False,0.923,-0.39
TBRG4,False,False,0.865,-0.276
MDN1,False,False,0.086,2.349
OR1L1,False,False,0.2,-1.843
ROPN1,False,False,0.116,0.821
ABCB1,False,False,0.222,-4.576
CELF2,True,True,0.0,-29.447
RP5-1182A14.6,False,False,0.223,-1.218
ZNF562,False,False,0.106,-1.612
SULT1A1,True,True,0.003,-5.018
SLC4A2,False,False,0.318,2.498
CP,False,False,0.577,-1.047
GRB2,True,True,0.0,25.477
LZTFL1,False,False,0.837,-0.212
IBTK,False,True,0.022,2.27
SHKBP1,False,True,0.012,-9.916
AC012314.28,False,False,0.309,1.568
GINS2,False,True,0.021,2.765
AP3S2,False,False,0.887,0.15
CCL3L3,False,False,0.155,-19.996
MAN1A1,False,False,0.079,4.232
CHD4,False,False,0.84,-0.38
MB21D1,False,True,0.02,3.603
RAB11FIP5,False,False,0.068,-3.246
EFNA1,False,False,0.559,-1.316
NEDD9,True,True,0.0,-11.771
ZCCHC5,False,False,0.502,0.512
TMEM64,False,False,0.256,-1.373
MATN4,False,False,0.159,2.223
CALB2,False,False,0.605,0.863
CABIN1,True,True,0.0,-14.188
ACSS3,False,False,0.491,-0.192
XPA,True,True,0.0,-4.582
TMEM175,True,True,0.0,-4.912
SPATA31A7,False,False,0.252,-1.014
URGCP,False,False,0.684,0.177
AL356585.2,False,False,0.978,-0.037
WDR83OS,True,True,0.0,-29.599
CNOT11,True,True,0.0,-5.403
SAPCD2,False,False,0.276,1.627
HNF1A,False,False,0.078,1.55
SPCS1,False,False,0.271,7.246
FOSL1,False,False,0.922,0.673
SMIM1,False,False,0.403,0.766
CLDN24,False,False,0.472,-0.324
RALA,False,False,0.701,-0.903
YJEFN3,False,True,0.044,-3.14
LAMP2,False,False,0.068,-5.732
KPRP,False,False,0.196,-1.478
SCGB1C1,False,False,0.234,0.921
TMEM185B,False,False,0.329,0.591
CEACAM7,False,True,0.035,3.884
KBTBD6,False,False,0.068,2.835
KRTAP15-1,False,False,0.69,-0.628
FBXO40,False,False,0.398,-0.488
G6PC,False,False,0.916,-0.083
RGPD5,False,True,0.009,-2.457
ZNF454,False,False,0.072,-1.479
CDK19,False,False,0.818,0.205
EDAR,False,False,0.089,1.108
UBE2L3,True,True,0.0,-7.82
OLFM3,False,False,0.618,-0.52
LZTS2,False,False,0.111,2.052
PDGFC,False,False,0.993,-0.007
BTN2A1,True,True,0.0,-5.916
HAUS8,False,False,0.968,-0.055
BZW1,True,True,0.0,-33.202
EIF5B,True,True,0.001,8.758
B4GALNT3,False,False,0.41,1.097
ASXL1,True,True,0.0,13.205
FAM175A,False,False,0.375,0.767
SLC14A2,False,False,0.295,1.052
SGSM2,True,True,0.001,-6.353
CPB2,False,False,0.599,0.817
FRMPD4,False,False,0.847,-0.14
REM2,False,False,0.076,2.548
HAUS2,False,False,0.412,-0.816
WFDC3,False,False,0.196,-1.624
LYPD1,False,False,0.154,-1.535
PEX2,True,True,0.0,-10.3
FANCF,False,False,0.62,-0.448
AXDND1,False,False,0.424,-0.771
KIF2A,True,True,0.0,-11.691
LRRN4CL,False,False,0.549,-0.311
CCDC170,False,False,0.291,-0.483
LRRC75B,False,False,0.069,1.207
TEX15,False,False,0.172,-1.306
RBM25,True,True,0.0,-6.732
ZPR1,False,False,0.368,-0.959
FKSG68,False,False,0.895,-0.196
DYNC2H1,False,False,0.173,-1.746
RANBP9,False,True,0.031,-2.8
BACE2,False,True,0.02,2.003
DOT1L,True,True,0.007,-3.907
CRHR2,False,False,0.401,1.366
IL18RAP,True,True,0.0,-94.578
COL5A3,True,True,0.005,-5.096
C15orf48,False,False,0.899,1.096
SWSAP1,False,False,0.6,0.647
TAF5L,True,True,0.0,-6.004
PON3,False,False,0.646,0.244
COMP,False,False,0.998,-0.006
TEX19,False,False,0.864,-0.12
NMRAL1,True,True,0.0,-9.084
SETD9,False,False,0.286,-0.823
TPR,False,False,0.072,-2.107
ZWILCH,False,False,0.572,1.0
PTGES2,False,False,0.599,-0.64
LSM10,True,True,0.002,5.535
NRSN1,False,False,0.346,0.91
RPS17,True,True,0.0,516.137
TK2,True,True,0.001,-3.867
ZIC5,False,False,0.74,-0.585
FAM81B,False,False,0.773,-0.383
VILL,True,True,0.001,-5.696
LITAF,True,True,0.0,-143.533
CPEB1,False,False,0.747,-0.181
ACP2,False,False,0.061,-2.385
XCL2,True,True,0.0,-111.275
TMED10,True,True,0.0,-13.707
MRVI1,False,False,0.767,0.204
ELP6,False,False,0.368,2.177
ACOT9,False,True,0.013,-4.585
FAM13B,False,False,0.665,0.386
LCE3A,False,False,0.362,1.567
ZNF493,False,False,0.054,-2.955
SH2D4A,False,False,0.157,1.956
PTPRO,True,True,0.0,5.819
TRIM26,False,False,0.421,1.773
ZC3H4,False,False,0.126,-1.508
C2CD4C,False,False,0.738,-0.725
P2RY8,True,True,0.0,-11.251
HOXC9,False,False,0.054,2.119
MDGA1,False,False,0.36,-1.165
KRT6C,False,False,0.993,0.012
CRNN,False,False,0.366,-1.251
SEMA3C,False,False,0.634,1.356
LMBRD1,True,True,0.0,5.469
C7orf49,False,False,0.488,-0.731
CDC14A,True,True,0.003,-3.122
PRKAG2,True,True,0.0,-4.43
RNASE3,False,False,0.401,-0.885
RPS19,True,True,0.0,425.997
KRTAP13-3,True,True,0.035,0.96
ANGPTL6,False,False,0.298,1.819
MND1,False,False,0.138,1.161
ADAMTSL4,False,False,0.626,0.966
SFTA2,False,False,0.313,-1.479
TOX2,False,False,0.27,1.29
SLC26A5,False,False,0.063,3.201
GPR176,False,False,0.412,-1.349
WHSC1,False,False,0.129,2.915
GPATCH4,True,True,0.005,6.282
FAM102A,True,True,0.0,10.479
PPP2R5C,True,True,0.0,-84.612
LTA,True,True,0.002,33.137
ZC3H15,False,False,0.106,2.355
PUM1,False,False,0.935,0.153
MRPL22,False,False,0.102,-2.939
OPTC,False,False,0.223,-0.928
CAPZA3,True,True,0.034,3.026
SMIM10,False,False,0.113,-3.086
EIF3I,False,False,0.066,7.932
EIF2AK1,False,False,0.167,-2.251
FUCA2,False,False,0.256,-2.483
COMMD6,True,True,0.0,-14.345
PIGP,False,False,0.187,1.781
MBL2,False,False,0.177,2.054
LYRM9,False,False,0.112,2.739
ATP8B3,False,False,0.663,-0.438
GLYCTK,False,False,0.772,0.515
SCIN,False,False,0.412,-0.96
FUBP1,False,False,0.318,-1.738
ZBED8,False,False,0.213,1.282
SNAI3,True,True,0.0,-6.827
ZNF665,False,False,0.225,-0.999
AOAH,True,True,0.0,-86.684
LCN9,False,False,0.855,-0.388
FAM122A,False,False,0.46,-1.237
DCDC1,False,False,0.694,-0.607
UPK2,False,False,0.352,1.517
MANSC1,False,False,0.908,-0.296
AL008723.1,False,False,0.542,0.404
NPTX2,False,False,0.98,-0.022
IFITM1,True,True,0.0,-499.761
PRPH,False,False,0.112,-0.454
COG5,False,False,0.061,-1.814
DPP6,False,False,0.539,0.915
RAD51,False,False,0.727,-0.187
ARHGAP4,True,True,0.0,-38.335
GCSAM,True,True,0.0,8.491
CITED1,False,False,0.131,1.65
SRC,True,True,0.002,6.38
ZHX2,True,True,0.0,7.59
TRHDE,False,False,0.45,0.444
SPPL2C,False,False,0.961,0.054
C3orf33,False,False,0.436,0.654
OR10AG1,False,False,0.287,1.11
USP44,False,False,0.064,1.448
OR2J1,False,False,0.107,-1.77
C12orf50,False,False,0.974,0.038
SLC35E3,False,False,0.527,0.443
CRELD2,False,True,0.008,-5.837
LRRC37A2,False,False,0.347,2.015
VPS28,True,True,0.0,-18.741
GOLGA4,False,True,0.012,-3.134
FZD5,False,False,0.066,0.521
GALNT11,True,True,0.0,-11.245
OTUD7B,True,True,0.007,-2.581
CIC,False,False,0.129,2.958
C9orf43,False,False,0.892,0.184
